image,mask
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju8dqkrqu83i0818ev74qpxq.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju8dqkrqu83i0818ev74qpxq.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju30nyxe0gfb0835p256yoju.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju30nyxe0gfb0835p256yoju.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju89z6pqpqfx0817mfv8ixjc.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju89z6pqpqfx0817mfv8ixjc.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7cp6dw244p0818gncdol4m.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7cp6dw244p0818gncdol4m.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7dvl5m2n4t0755hlnnjjet.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7dvl5m2n4t0755hlnnjjet.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7dbppn28nx085097654msi.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7dbppn28nx085097654msi.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju7d4jk723eu0817bqz2n39m.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju7d4jk723eu0817bqz2n39m.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2mh8t6p07008350e01tx2a.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2mh8t6p07008350e01tx2a.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju3xuj20ivgp0818mij8bjrd.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju3xuj20ivgp0818mij8bjrd.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju2iatlki5u309930zmgkv6h.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju2iatlki5u309930zmgkv6h.jpg
/vinbrain/huyta/data/POLYPS/Kvasir-SEG/images/cju1cvkfwqrec0993wbp1jlzm.jpg,/vinbrain/huyta/data/POLYPS/Kvasir-SEG/masks/cju1cvkfwqrec0993wbp1jlzm.jpg
